식품코드,식품명,식품대분류코드,식품중량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg)
2197110000000268,초코 마카다미아 아이스크림,19,115,270.25,32,4,14,24,0,78.2
2197110000000269,초코 아이스크림,19,100,152,24,3.2,4.8,19.2,0,84
2197110000000121,딸기 아이스크림,19,100,111,16.01,1.86,4.87,13,0,35
2197110000000191,티라미수 젤라토,19,100,207,21,4,7.7,23.8,0,38
2197110000000079,젤라토,19,97,124,31.62,0.39,0,31.62,0,21
2197100000000001,메론코코샤베트,19,470,211.5,52.12,0.52,0,48.41,0,23.5
2197100000000002,블루파인 샤베트,19,470,188,43.99,1.08,0.8,36,0,42.3
2197100000000003,와인 샤베트,19,470,347.8,83,0.99,2.02,72.99,0,0
2197110000000078,바닐라 아포가토,19,227,275,16,6,7,16,0,60
3197080200000001,바닐라 밀크쉐이크,19,100,113,17.01,2.43,3.88,16.57,0.3,51
2207370000000768,밀크 쉐이크,20,160,75,10,4,3.3,5,5,89
2207370000000679,초코 쉐이크,20,470,478,77.08,12.78,13.91,69.64,7.1,365
2207370000000684,초코프로틴쉐이크,20,100,232,27,18,2,6,0,36
2207520000000119,페퍼민트티,20,473,9.46,0,0.28,0,0.61,0,9.46
2207530000000001,홍차 머스캣 블렌드티,20,450,0,0,0.32,0,0,0,4.5
2207520000000099,캐모마일티,20,591,5.91,0,0.18,0,0,0,5.91
2207520000000102,쿨 허벌티,20,473,0,0,0,0,0,0,0
2207520000000104,크림얼그레이티,20,430,4.3,0,0,0,0,0,4.3
2207520000000073,허브티,20,473,0,0,0,0,0,0,0
2207520000000076,히비스커스 블렌드티,20,355,0,0,0,0,0,0,0
2207520000000081,레몬밤 민트티,20,473,208.12,0,0.19,0,46.78,0,14.19
2207520000000017,민트티,20,473,0,0,0,0,0,0,4.73
3207311900000001,흑당 밀크티,20,100,94,15.37,2.38,2.55,12.76,1.4,55
2207460000000024,자몽티,20,400,280,0,1,0,66,0,16
2207450000000034,레몬 유자티,20,473,236.5,0,0,0,55.29,0,52.03
2207440000000002,우롱티,20,473,4.73,0,0,0,0,0,0
2207260000000002,레몬얼그레이티,20,350,108.5,0,0.07,0,24.99,0,0
2207240000000022,레몬티,20,385,207.9,0,2,0,42,0,3.85
2207520000000027,시나몬 진저티,20,360,3.6,0,0,0,0,0,14.4
2207240000000024,진저 레몬티,20,360,154.8,0,0,0,33.98,0,10.8
2207210000000024,녹차 그린티,20,400,8,0,0.76,0,0.04,0,0
2207210000000026,녹차 자스민 그린티,20,586,23.44,0,0.18,0,4.28,0,5.86
2207190000000103,한라봉티,20,473,212.85,0,0.61,0,52.08,0,4.73
2207400000000048,복숭아 아이스티,20,450,274.5,0,0,0,64.39,0,40.5
2207400000000052,애플망고 아이스티,20,473,198.66,0,0.38,0,47.3,0,37.84
2207400000000054,자두 아이스티,20,591,141.84,0,0,0,32.51,0,11.82
2207400000000027,청포도 아이스티,20,595,238,0,0,0,10,0,11.9
2207520000000001,감잎차,20,450,0,0,0.18,0,0,0,4.5
2207520000000004,국화차,20,450,4.5,0,0,0,0,0,4.5
2207500000000001,애플 히비스커스 콤부차 ,20,470,150.4,0,0,0,36.99,0,9.4
2207500000000003,애플망고 콤부차,20,480,158.4,0,0,0,37.01,0,14.4
2207500000000006,플레인 콤부차,20,480,120,0,0,0,31.01,0,9.6
2207390000000001,쌍화차,20,360,194.4,0,0.29,0,37.91,0,54
2207390000000006,대추 쌍화차,20,500,255,64.55,0.15,0.05,48.15,0,10
2207460000000019,자몽차,20,360,129.6,0,0.61,0,26.64,0,10.8
2207450000000047,유자차,20,591,295.5,55.02,0,0,47.99,0,70.92
2207430000000002,감귤 오미자차,20,360,158.4,0,0.11,0,32.9,0,3.6
2207270000000001,마테차,20,360,3.6,0,0,0,0,0,3.6
2207220000000001,사과 대추차,20,385,115.5,0,0,0,24.99,0,11.55
2207220000000002,대추차,20,360,60,14,0.6,0,10,0,40
2207200000000001,대추꿀차,20,355,78.1,0,0,0,17,0,0
2207200000000002,레몬꿀차,20,355,74.55,0,0,0,18,0,0
2207200000000003,모과꿀차,20,355,78.1,0,0,0,18.99,0,0
2207200000000004,생강꿀차,20,355,81.65,0,0,0,17,0,0
2207200000000005,유자꿀차,20,355,74.55,0,0,0,17,0,0
2207200000000006,자몽꿀차,20,355,78.1,0,0.28,0,17,0,0
2207190000000061,매실차,20,591,171.39,0,0,0,33.27,0,0
2207520000000082,루이보스,20,473,0,0,0,0,0.99,0,4.73
2207520000000048,커즈마인,20,450,0,0,0,0,0,0,27
2207490000000011,핫초코,20,325,290,36,10.01,8,36,0,185
2207480000001172,헤이즐넛 라떼,20,400,240,9.7,9.1,5.1,9.7,0,63
2207480000001124,콜드브루 라떼,20,400,75,5,3.8,2.1,5,0,50
2207480000001131,토피넛 라떼,20,473,325,36,10,16,34,0,250
2207480000001059,카페라떼,20,340,215,23,6.1,10.8,20,0,154
2207480000000977,연유 라떼,20,310,266,44.75,6.65,7.37,44.75,0,122
2207480000000855,바닐라 라떼,20,360,165.6,0,7.2,0,11.48,0,115.2
2207480000000779,디카페인 아몬드 라떼,20,591,242.31,0,7.62,0,30.2,0,124.11
2207480000000785,디카페인 연유 라떼,20,591,378.24,0,10.99,0,40.01,0,165.48
2207480000000789,디카페인 오트카페 라떼,20,591,153.66,0,2.01,0,6.97,0,100.47
2207480000000735,돌체 라떼,20,473,383.13,0,11.12,0,41.01,0,151.36
2207480000000374,초코라떼,20,100,65,10.8,1.46,1.79,9.6,0,43
2207230000000565,호두 라떼,20,100,63,0,1.42,0,7.79,0,32
2207230000000566,홍시 라떼,20,650,234,36.47,3.52,4.07,26.68,0,100
2207230000000572,흑임자 라떼,20,346,200,30,6,6,30,0,90
2207230000000508,제주 말차 라떼,20,473,131,23,3,3,23,0,90
2207230000000497,오미자 라떼,20,100,133,0,2,0,17.81,0,44
2207230000000499,오트밀 라떼,20,355,215,14,3,0,11,0,100
2207230000000477,생강 라떼,20,100,132,0,2.14,0,16.21,0,43
2207230000000332,홍차라떼,20,384,284.16,0,3.42,0,30.6,0,153.6
2207230000000002,검은콩 라떼,20,355,223.65,0,12,0,24.99,0,120.7
2207230000000005,고구마 라떼,20,360,194.4,0,5,0,15.98,0,79.2
2207480000001174,헤이즐넛아메리카노,20,650,136.5,32.56,0.2,0,31.98,0,45.5
2207480000000946,아메리카노,20,473,18.92,0,1.09,0,0,0,14.19
2207480000000777,디카페인 아메리카노,20,473,9.46,0,0.28,0,0,0,0
2207480000000957,아인슈페너,20,300,207,0,0.99,0,3.99,0,42
2207480000001116,콜드브루,20,591,11.82,0,1,0,0,0,0
2207480000000681,흑당콜드브루,20,414,248.4,0,5.01,0,40.99,0,86.94
2207480000001078,카페모카,20,360,374.4,0,8.39,0,36,0,176.4
2207480000000671,화이트 초콜렛 모카,20,355,345,36,11,18,35,0,150
2207480000000967,에스프레소,20,60,1.8,0.54,0.18,0,0,0,10.2
2207480000000784,디카페인 에스프레소,20,500,5,0.6,0,0.1,0,0,10
2207480000001085,카푸치노,20,420,88.2,0,3.91,0,6.01,0,63
2207480000001003,카라멜마끼아또,20,355,287.55,0,9.02,0,21.02,0,124.25
2207480000000963,아포가토,20,155,280.55,28.89,5.12,16,25.81,0,134.85
2207420000000033,석류 에이드,20,650,143,33,0.97,0,31.98,0,6.5
2207420000000034,배 에이드,20,650,292.5,0,0.97,0,69.03,0,84.5
2207420000000035,복숭아 자두 스파클링 에이드,20,472,179.36,0,0.99,0,43,0,4.72
2207420000000036,복숭아 에이드,20,473,193.93,41,0.99,0,41.01,0,18.92
2207420000000041,블루레몬 에이드,20,200,75,19,0.14,0,32.02,0,0
2207420000000045,망고 에이드,20,250,125,31,0,0,30,0,25
2207420000000046,샤인머스캣 스파클링 에이드,20,506,197.34,49.99,0,0,48.02,0,30.36
2207420000000047,샤인머스캣 에이드,20,480,230.4,0,0.67,0.05,56.11,0,57.6
2207420000000048,샤인머스캣청포도 에이드,20,473,203.39,0,0.76,0,43,0,14.19
2207420000000012,라임 에이드,20,360,179,44.91,0,0,43.2,0,30
2207420000000014,레드자몽 스파클링 에이드,20,422,105.5,27.01,0,0,14.98,0,59.08
2207420000000018,레몬 스파클링 에이드,20,360,133.2,0,0,0,13,0,3.6
2207420000000023,레몬 에이드,20,415,117,27,1.99,0,27,0,5
2207420000000001,그린애플 스파클링 에이드,20,600,240,0,0,0,54.42,0,6
2207420000000008,딸기레몬 에이드,20,100,49,12.24,0.01,0.02,10.52,0,3
2207420000000009,딸기 에이드,20,612,183.6,34,2.02,0,27.9,0,24
2207420000000183,크림소다 에이드,20,591,206.85,0,1,0,29.02,0,23.64
2207420000000184,패션프루츠 에이드,20,460,179.4,0,0,0,39.01,0,4.6
2207420000000185,핑크리치 에이드,20,501,210.42,0,0.1,0,41.53,0,15.03
2207420000000188,한라봉 에이드,20,450,157.5,0,0.23,0,32.31,0,0
2207420000000164,청귤 에이드,20,591,342.78,0,0,0,80.02,0,65.01
2207420000000169,청포도 에이드,20,473,131,30,0.38,0,30,0,3
2207420000000148,자몽 에이드,20,460,155,34,3,0,34,0,10
2207420000000107,깔라만시 에이드,20,473,146.63,32,0.99,0,31,0,5
2207380000000001,단호박 식혜,20,238,125,31,0.16,0.05,27,0,50
2207380000000003,식혜,20,238,115,28.83,0.49,0.05,23.4,0,4
2207370000000739,플레인 요거트 스무디,20,473,297,54.58,7.87,5.36,34.7,0,111
2207370000000717,쿠앤크 스무디,20,591,412,53.1,5.4,13.5,45.1,0,126
2207370000000683,초코칩 스무디,20,591,412,53.1,5.4,13.5,45.1,0,126
2207370000000651,자몽 스무디,20,400,201,3,1,32,35,0,5
